iter	Passed	Remaining
0	2	224
1	4	220
2	6	218
3	8	204
4	10	208
5	13	208
6	15	207
7	18	207
8	20	205
9	22	203
10	24	200
11	27	198
12	29	196
13	31	194
14	33	192
15	36	189
16	38	187
17	41	187
18	43	187
19	46	184
20	48	181
21	49	176
22	51	172
23	52	167
24	54	163
25	55	158
26	57	154
27	58	149
28	59	145
29	60	140
30	61	136
31	62	133
32	63	129
33	64	125
34	65	121
35	66	118
36	67	115
37	68	112
38	69	108
39	70	105
40	71	102
41	71	99
42	72	96
43	73	93
44	74	90
45	75	88
46	76	85
47	76	83
48	77	81
49	78	78
50	79	76
51	80	74
52	81	72
53	82	69
54	82	67
55	83	65
56	84	63
57	85	61
58	86	59
59	86	57
60	87	56
61	88	54
62	89	52
63	90	50
64	91	49
65	92	47
66	93	45
67	93	44
68	94	42
69	95	40
70	96	39
71	97	37
72	98	36
73	98	34
74	99	33
75	100	31
76	101	30
77	102	28
78	103	27
79	103	25
80	104	24
81	105	23
82	106	21
83	107	20
84	108	19
85	108	17
86	109	16
87	110	15
88	111	13
89	112	12
90	113	11
91	114	9
92	114	8
93	115	7
94	116	6
95	117	4
96	118	3
97	118	2
98	119	1
99	120	0
